"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","神一样的小铭","不是，哥们儿？？？？？","6","2024-10-20 20:13:52","244847926337","3546673290677068"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","是毒瘤da","崩铁也是好起来了，都联动上银河忍法帖了[doge]","1118","2024-10-18 12:27:52","244866676544","205345139"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","宅到腐为止","扳机社大杂烩[笑哭]忍者杀手+吊带袜天使+天元突破机甲，还有十字黑白闪和变速帧，就差套娃爆炸和抱胸G社立了[吃瓜]","7854","2024-10-18 12:07:42","244865026576","2003938"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","松松是只猪1","乱破攻击原始博士，这是不是一种以卵击石[doge] 这里我解释一下卵和石分别是乱和始的谐音[墨镜]","2946","2024-10-18 12:08:26","244865064096","350830406"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","六牙LY","过剧情前：中二病？ 过剧情后：够了，我心疼你，姑娘 去和波提欧多喝几杯小麦果汁吧，我请你们[大哭]","17","2024-10-24 17:14:31","245363677312","112337506"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","d丧b","🐵：「🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌！」","7","2024-10-18 12:14:02","244865527120","12282542"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","街区123","过完剧情看这个不太乐得出来了_(:з」∠)_","16","2024-10-25 06:57:44","245403463040","456734426"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","A级厨师圆粥绿","乱破如果能培养一只军队的话，感觉战斗力会飙升。 因为他们可以命名为“破军”！","1279","2024-10-18 12:10:37","244865268880","3546379488070407"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","西瓦","原来真的有《银河忍法帖》啊，还以为是哪个试中了模因病毒的试验品的幻想呢[墨镜][墨镜][墨镜]","19","2024-10-23 23:37:28","245076637985","14458"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","尘世闲游-陵薮市朝","小小年纪所向无敌神秘超能力[doge_金箍][doge_金箍]","4","2024-10-18 12:02:07","244864551024","1408235928"
